,dataset,noise,model,agent_num,count
0,gsm,clean,Qwen3-4B,1,100
1,gsm,clean,Qwen3-4B,5,100
2,gsm,clean,Qwen3-4B,10,100
3,gsm,clean,Qwen3-4B,15,100
4,gsm,clean,Qwen3-4B,20,100
5,gsm,clean,Qwen3-4B,25,100
6,gsm,clean,gemma-3-4b-it,1,100
7,gsm,clean,gemma-3-4b-it,5,100
8,gsm,clean,gemma-3-4b-it,10,100
9,gsm,clean,gemma-3-4b-it,15,100
10,gsm,clean,gemma-3-4b-it,20,100
11,gsm,clean,gemma-3-4b-it,25,100
12,gsm,punctuation_10,Qwen3-4B,1,100
13,gsm,punctuation_10,Qwen3-4B,5,100
14,gsm,punctuation_10,Qwen3-4B,10,100
15,gsm,punctuation_10,Qwen3-4B,15,100
16,gsm,punctuation_10,Qwen3-4B,20,100
17,gsm,punctuation_10,Qwen3-4B,25,100
18,gsm,punctuation_10,gemma-3-4b-it,1,100
19,gsm,punctuation_10,gemma-3-4b-it,5,100
20,gsm,punctuation_10,gemma-3-4b-it,10,100
21,gsm,punctuation_10,gemma-3-4b-it,15,100
22,gsm,punctuation_10,gemma-3-4b-it,20,100
23,gsm,punctuation_10,gemma-3-4b-it,25,100
24,gsm,punctuation_30,Qwen3-4B,1,100
25,gsm,punctuation_30,Qwen3-4B,5,100
26,gsm,punctuation_30,Qwen3-4B,10,100
27,gsm,punctuation_30,Qwen3-4B,15,100
28,gsm,punctuation_30,Qwen3-4B,20,100
29,gsm,punctuation_30,Qwen3-4B,25,100
30,gsm,punctuation_30,gemma-3-4b-it,1,100
31,gsm,punctuation_30,gemma-3-4b-it,5,100
32,gsm,punctuation_30,gemma-3-4b-it,10,100
33,gsm,punctuation_30,gemma-3-4b-it,15,100
34,gsm,punctuation_30,gemma-3-4b-it,20,100
35,gsm,punctuation_30,gemma-3-4b-it,25,100
36,gsm,punctuation_50,Qwen3-4B,1,100
37,gsm,punctuation_50,Qwen3-4B,5,100
38,gsm,punctuation_50,Qwen3-4B,10,100
39,gsm,punctuation_50,Qwen3-4B,15,100
40,gsm,punctuation_50,Qwen3-4B,20,100
41,gsm,punctuation_50,Qwen3-4B,25,100
42,gsm,punctuation_50,gemma-3-4b-it,1,100
43,gsm,punctuation_50,gemma-3-4b-it,5,100
44,gsm,punctuation_50,gemma-3-4b-it,10,100
45,gsm,punctuation_50,gemma-3-4b-it,15,100
46,gsm,punctuation_50,gemma-3-4b-it,20,100
47,gsm,punctuation_50,gemma-3-4b-it,25,100
48,gsm,r2ata,Qwen3-4B,1,100
49,gsm,r2ata,Qwen3-4B,5,100
50,gsm,r2ata,Qwen3-4B,10,100
51,gsm,r2ata,Qwen3-4B,15,100
52,gsm,r2ata,Qwen3-4B,20,100
53,gsm,r2ata,Qwen3-4B,25,100
54,gsm,r2ata,gemma-3-4b-it,1,100
55,gsm,r2ata,gemma-3-4b-it,5,100
56,gsm,r2ata,gemma-3-4b-it,10,100
57,gsm,r2ata,gemma-3-4b-it,15,100
58,gsm,r2ata,gemma-3-4b-it,20,100
59,gsm,r2ata,gemma-3-4b-it,25,100
60,gsm,wikitypo,Qwen3-4B,1,100
61,gsm,wikitypo,Qwen3-4B,5,100
62,gsm,wikitypo,Qwen3-4B,10,100
63,gsm,wikitypo,Qwen3-4B,15,100
64,gsm,wikitypo,Qwen3-4B,20,100
65,gsm,wikitypo,Qwen3-4B,25,100
66,gsm,wikitypo,gemma-3-4b-it,1,100
67,gsm,wikitypo,gemma-3-4b-it,5,100
68,gsm,wikitypo,gemma-3-4b-it,10,100
69,gsm,wikitypo,gemma-3-4b-it,15,100
70,gsm,wikitypo,gemma-3-4b-it,20,100
71,gsm,wikitypo,gemma-3-4b-it,25,100
72,math,clean,Qwen3-4B,1,100
73,math,clean,Qwen3-4B,5,100
74,math,clean,Qwen3-4B,10,100
75,math,clean,Qwen3-4B,15,100
76,math,clean,Qwen3-4B,20,100
77,math,clean,Qwen3-4B,25,100
78,math,clean,gemma-3-4b-it,1,100
79,math,clean,gemma-3-4b-it,5,100
80,math,clean,gemma-3-4b-it,10,100
81,math,clean,gemma-3-4b-it,15,100
82,math,clean,gemma-3-4b-it,20,100
83,math,clean,gemma-3-4b-it,25,100
84,math,punctuation_10,Qwen3-4B,1,100
85,math,punctuation_10,Qwen3-4B,5,100
86,math,punctuation_10,Qwen3-4B,10,100
87,math,punctuation_10,Qwen3-4B,15,100
88,math,punctuation_10,Qwen3-4B,20,100
89,math,punctuation_10,Qwen3-4B,25,100
90,math,punctuation_10,gemma-3-4b-it,1,100
91,math,punctuation_10,gemma-3-4b-it,5,100
92,math,punctuation_10,gemma-3-4b-it,10,100
93,math,punctuation_10,gemma-3-4b-it,15,100
94,math,punctuation_10,gemma-3-4b-it,20,100
95,math,punctuation_10,gemma-3-4b-it,25,100
96,math,punctuation_30,Qwen3-4B,1,100
97,math,punctuation_30,Qwen3-4B,5,100
98,math,punctuation_30,Qwen3-4B,10,100
99,math,punctuation_30,Qwen3-4B,15,100
100,math,punctuation_30,Qwen3-4B,20,100
101,math,punctuation_30,Qwen3-4B,25,100
102,math,punctuation_30,gemma-3-4b-it,1,100
103,math,punctuation_30,gemma-3-4b-it,5,100
104,math,punctuation_30,gemma-3-4b-it,10,100
105,math,punctuation_30,gemma-3-4b-it,15,100
106,math,punctuation_30,gemma-3-4b-it,20,100
107,math,punctuation_30,gemma-3-4b-it,25,100
108,math,punctuation_50,Qwen3-4B,1,100
109,math,punctuation_50,Qwen3-4B,5,100
110,math,punctuation_50,Qwen3-4B,10,100
111,math,punctuation_50,Qwen3-4B,15,100
112,math,punctuation_50,Qwen3-4B,20,100
113,math,punctuation_50,Qwen3-4B,25,100
114,math,punctuation_50,gemma-3-4b-it,1,100
115,math,punctuation_50,gemma-3-4b-it,5,100
116,math,punctuation_50,gemma-3-4b-it,10,100
117,math,punctuation_50,gemma-3-4b-it,15,100
118,math,punctuation_50,gemma-3-4b-it,20,100
119,math,punctuation_50,gemma-3-4b-it,25,100
120,math,r2ata,Qwen3-4B,1,100
121,math,r2ata,Qwen3-4B,5,100
122,math,r2ata,Qwen3-4B,10,100
123,math,r2ata,Qwen3-4B,15,100
124,math,r2ata,Qwen3-4B,20,100
125,math,r2ata,Qwen3-4B,25,100
126,math,r2ata,gemma-3-4b-it,1,100
127,math,r2ata,gemma-3-4b-it,5,100
128,math,r2ata,gemma-3-4b-it,10,100
129,math,r2ata,gemma-3-4b-it,15,100
130,math,r2ata,gemma-3-4b-it,20,100
131,math,r2ata,gemma-3-4b-it,25,100
132,math,wikitypo,Qwen3-4B,1,100
133,math,wikitypo,Qwen3-4B,5,100
134,math,wikitypo,Qwen3-4B,10,100
135,math,wikitypo,Qwen3-4B,15,100
136,math,wikitypo,Qwen3-4B,20,100
137,math,wikitypo,Qwen3-4B,25,100
138,math,wikitypo,gemma-3-4b-it,1,100
139,math,wikitypo,gemma-3-4b-it,5,100
140,math,wikitypo,gemma-3-4b-it,10,100
141,math,wikitypo,gemma-3-4b-it,15,100
142,math,wikitypo,gemma-3-4b-it,20,100
143,math,wikitypo,gemma-3-4b-it,25,100
144,mmlu,clean,Qwen3-4B,1,100
145,mmlu,clean,Qwen3-4B,5,100
146,mmlu,clean,Qwen3-4B,10,100
147,mmlu,clean,Qwen3-4B,15,100
148,mmlu,clean,Qwen3-4B,20,100
149,mmlu,clean,Qwen3-4B,25,100
150,mmlu,clean,gemma-3-4b-it,1,100
151,mmlu,clean,gemma-3-4b-it,5,100
152,mmlu,clean,gemma-3-4b-it,10,100
153,mmlu,clean,gemma-3-4b-it,15,100
154,mmlu,clean,gemma-3-4b-it,20,100
155,mmlu,clean,gemma-3-4b-it,25,100
156,mmlu,punctuation_10,Qwen3-4B,1,100
157,mmlu,punctuation_10,Qwen3-4B,5,100
158,mmlu,punctuation_10,Qwen3-4B,10,100
159,mmlu,punctuation_10,Qwen3-4B,15,100
160,mmlu,punctuation_10,Qwen3-4B,20,100
161,mmlu,punctuation_10,Qwen3-4B,25,100
162,mmlu,punctuation_10,gemma-3-4b-it,1,100
163,mmlu,punctuation_10,gemma-3-4b-it,5,100
164,mmlu,punctuation_10,gemma-3-4b-it,10,100
165,mmlu,punctuation_10,gemma-3-4b-it,15,100
166,mmlu,punctuation_10,gemma-3-4b-it,20,100
167,mmlu,punctuation_10,gemma-3-4b-it,25,100
168,mmlu,punctuation_30,Qwen3-4B,1,100
169,mmlu,punctuation_30,Qwen3-4B,5,100
170,mmlu,punctuation_30,Qwen3-4B,10,100
171,mmlu,punctuation_30,Qwen3-4B,15,100
172,mmlu,punctuation_30,Qwen3-4B,20,100
173,mmlu,punctuation_30,Qwen3-4B,25,100
174,mmlu,punctuation_30,gemma-3-4b-it,1,100
175,mmlu,punctuation_30,gemma-3-4b-it,5,100
176,mmlu,punctuation_30,gemma-3-4b-it,10,100
177,mmlu,punctuation_30,gemma-3-4b-it,15,100
178,mmlu,punctuation_30,gemma-3-4b-it,20,100
