,dataset,noise,model,agent_num,count
0,gsm,clean,Llama-3.1-8B-Instruct,1,1319
1,gsm,clean,Llama-3.1-8B-Instruct,5,1319
2,gsm,clean,Llama-3.1-8B-Instruct,10,1319
3,gsm,clean,Llama-3.1-8B-Instruct,15,1319
4,gsm,clean,Llama-3.1-8B-Instruct,20,1319
5,gsm,clean,Llama-3.1-8B-Instruct,25,1319
6,gsm,clean,Mistral-7B-Instruct-v0.3,1,1319
7,gsm,clean,Mistral-7B-Instruct-v0.3,5,1319
8,gsm,clean,Mistral-7B-Instruct-v0.3,10,1319
9,gsm,clean,Mistral-7B-Instruct-v0.3,15,1319
10,gsm,clean,Mistral-7B-Instruct-v0.3,20,1319
11,gsm,clean,Mistral-7B-Instruct-v0.3,25,1319
12,gsm,clean,Qwen3-14B,1,1319
13,gsm,clean,Qwen3-14B,5,1319
14,gsm,clean,Qwen3-14B,10,1319
15,gsm,clean,Qwen3-14B,15,1319
16,gsm,clean,Qwen3-14B,20,1319
17,gsm,clean,Qwen3-14B,25,1319
18,gsm,clean,Qwen3-4B,1,1319
19,gsm,clean,Qwen3-4B,5,1319
20,gsm,clean,Qwen3-4B,10,1319
21,gsm,clean,Qwen3-4B,15,1319
22,gsm,clean,Qwen3-4B,20,1319
23,gsm,clean,Qwen3-4B,25,1319
24,gsm,clean,gemma-3-12b-it,1,1319
25,gsm,clean,gemma-3-12b-it,5,1319
26,gsm,clean,gemma-3-12b-it,10,1319
27,gsm,clean,gemma-3-12b-it,15,1319
28,gsm,clean,gemma-3-12b-it,20,1319
29,gsm,clean,gemma-3-12b-it,25,1319
30,gsm,clean,gemma-3-4b-it,1,1319
31,gsm,clean,gemma-3-4b-it,5,1319
32,gsm,clean,gemma-3-4b-it,10,1319
33,gsm,clean,gemma-3-4b-it,15,1319
34,gsm,clean,gemma-3-4b-it,20,1319
35,gsm,clean,gemma-3-4b-it,25,1319
36,gsm,punctuation_10,Llama-3.1-8B-Instruct,1,1319
37,gsm,punctuation_10,Llama-3.1-8B-Instruct,5,1319
38,gsm,punctuation_10,Llama-3.1-8B-Instruct,10,1319
39,gsm,punctuation_10,Llama-3.1-8B-Instruct,15,1319
40,gsm,punctuation_10,Llama-3.1-8B-Instruct,20,1319
41,gsm,punctuation_10,Llama-3.1-8B-Instruct,25,1319
42,gsm,punctuation_10,Mistral-7B-Instruct-v0.3,1,1219
43,gsm,punctuation_10,Mistral-7B-Instruct-v0.3,5,1219
44,gsm,punctuation_10,Mistral-7B-Instruct-v0.3,10,1219
45,gsm,punctuation_10,Mistral-7B-Instruct-v0.3,15,1219
46,gsm,punctuation_10,Mistral-7B-Instruct-v0.3,20,1219
47,gsm,punctuation_10,Mistral-7B-Instruct-v0.3,25,1219
48,gsm,punctuation_10,Qwen3-14B,1,1319
49,gsm,punctuation_10,Qwen3-14B,5,1319
50,gsm,punctuation_10,Qwen3-14B,10,1319
51,gsm,punctuation_10,Qwen3-14B,15,1319
52,gsm,punctuation_10,Qwen3-14B,20,1319
53,gsm,punctuation_10,Qwen3-14B,25,1319
54,gsm,punctuation_10,Qwen3-4B,1,1319
55,gsm,punctuation_10,Qwen3-4B,5,1319
56,gsm,punctuation_10,Qwen3-4B,10,1319
57,gsm,punctuation_10,Qwen3-4B,15,1319
58,gsm,punctuation_10,Qwen3-4B,20,1319
59,gsm,punctuation_10,Qwen3-4B,25,1319
60,gsm,punctuation_10,gemma-3-12b-it,1,1319
61,gsm,punctuation_10,gemma-3-12b-it,5,1319
62,gsm,punctuation_10,gemma-3-12b-it,10,1319
63,gsm,punctuation_10,gemma-3-12b-it,15,1319
64,gsm,punctuation_10,gemma-3-12b-it,20,1319
65,gsm,punctuation_10,gemma-3-12b-it,25,1319
66,gsm,punctuation_10,gemma-3-4b-it,1,1319
67,gsm,punctuation_10,gemma-3-4b-it,5,1319
68,gsm,punctuation_10,gemma-3-4b-it,10,1319
69,gsm,punctuation_10,gemma-3-4b-it,15,1319
70,gsm,punctuation_10,gemma-3-4b-it,20,1319
71,gsm,punctuation_10,gemma-3-4b-it,25,1319
72,gsm,punctuation_30,Llama-3.1-8B-Instruct,1,1319
73,gsm,punctuation_30,Llama-3.1-8B-Instruct,5,1319
74,gsm,punctuation_30,Llama-3.1-8B-Instruct,10,1319
75,gsm,punctuation_30,Llama-3.1-8B-Instruct,15,1319
76,gsm,punctuation_30,Llama-3.1-8B-Instruct,20,1319
