dataset,noise,model,k,k_accuracies
gsm,clean,gemma-3-12b-it,1,"[0.91963609 0.91205459 0.91205459 0.91053829 0.91811979 0.91053829
 0.91053829 0.90371494 0.91508719 0.91736164 0.90826384 0.91053829
 0.91357089 0.91357089 0.90219864 0.91281274 0.90902199 0.91584534
 0.91357089 0.90523124 0.91053829 0.90750569 0.90523124 0.91432904
 0.90750569]"
gsm,clean,gemma-3-12b-it,5,"[0.93479909 0.93631539 0.93707354 0.93404094 0.93707354 0.93631539
 0.93479909 0.93252464 0.93631539 0.93404094 0.93328279 0.93176649
 0.93404094 0.93328279 0.93328279 0.93479909 0.93707354 0.93783169
 0.93555724 0.93328279 0.93328279]"
gsm,clean,gemma-3-12b-it,10,"[0.93707354 0.93934799 0.93934799 0.94313874 0.94010614 0.93631539
 0.93858984 0.93858984 0.93707354 0.93631539 0.93858984 0.93934799
 0.93783169 0.93783169 0.93707354 0.93631539]"
gsm,clean,gemma-3-12b-it,15,"[0.93934799 0.94162244 0.94162244 0.94238059 0.94086429 0.94238059
 0.94238059 0.94162244 0.94010614 0.93783169 0.93858984]"
gsm,clean,gemma-3-12b-it,20,[0.94086429 0.94010614 0.94162244 0.94238059 0.94162244 0.94238059]
gsm,clean,gemma-3-12b-it,25,[0.94238059]
math,clean,gemma-3-12b-it,1,"[0.65 0.61 0.59 0.58 0.68 0.55 0.61 0.61 0.59 0.65 0.6  0.6  0.6  0.61
 0.59 0.65 0.6  0.62 0.55 0.6  0.59 0.64 0.59 0.57 0.57]"
math,clean,gemma-3-12b-it,5,"[0.67 0.64 0.63 0.65 0.67 0.6  0.64 0.65 0.67 0.69 0.64 0.65 0.63 0.65
 0.67 0.68 0.6  0.64 0.61 0.64 0.63]"
math,clean,gemma-3-12b-it,10,"[0.67 0.67 0.66 0.67 0.69 0.62 0.66 0.66 0.67 0.69 0.67 0.64 0.66 0.68
 0.66 0.67]"
math,clean,gemma-3-12b-it,15,[0.66 0.66 0.68 0.66 0.68 0.65 0.66 0.66 0.69 0.69 0.65]
math,clean,gemma-3-12b-it,20,[0.69 0.69 0.7  0.68 0.69 0.65]
math,clean,gemma-3-12b-it,25,[0.68]
mmlu,clean,gemma-3-12b-it,1,"[0.85930123 0.84608121 0.85269122 0.84891407 0.85174693 0.84608121
 0.85174693 0.84891407 0.85457979 0.85269122 0.85552408 0.84324835
 0.85269122 0.8470255  0.85080264 0.85457979 0.8394712  0.84324835
 0.84419263 0.85269122 0.85174693 0.84419263 0.85080264 0.86213409
 0.85646837]"
mmlu,clean,gemma-3-12b-it,5,"[0.8687441  0.86496695 0.86496695 0.86213409 0.87063267 0.86968839
 0.87157696 0.8687441  0.87535411 0.86213409 0.86685552 0.86496695
 0.85930123 0.86496695 0.86779981 0.86402266 0.8611898  0.8611898
 0.86307838 0.86968839 0.86496695]"
mmlu,clean,gemma-3-12b-it,10,"[0.87252125 0.87440982 0.87157696 0.87440982 0.87252125 0.87063267
 0.87346553 0.87440982 0.8687441  0.86496695 0.86779981 0.86591124
 0.86591124 0.86968839 0.87157696 0.86779981]"
mmlu,clean,gemma-3-12b-it,15,"[0.87063267 0.8687441  0.8687441  0.86968839 0.87157696 0.86968839
 0.86968839 0.86968839 0.87157696 0.86779981 0.86685552]"
mmlu,clean,gemma-3-12b-it,20,[0.87157696 0.8687441  0.87063267 0.86968839 0.87157696 0.87063267]
mmlu,clean,gemma-3-12b-it,25,[0.87063267]
multiarith,clean,gemma-3-12b-it,1,"[1.         0.98888889 1.         1.         1.         0.99444444
 1.         1.         0.99444444 0.98888889 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99444444 0.99444444 1.         1.
 0.99444444]"
multiarith,clean,gemma-3-12b-it,5,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
multiarith,clean,gemma-3-12b-it,10,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
multiarith,clean,gemma-3-12b-it,15,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
multiarith,clean,gemma-3-12b-it,20,[1. 1. 1. 1. 1. 1.]
multiarith,clean,gemma-3-12b-it,25,[1.]
gsm,clean,gemma-3-4b-it,1,"[0.84836998 0.84988628 0.85216073 0.85746778 0.84685368 0.83851403
 0.85443518 0.84685368 0.84078848 0.85974223 0.85822593 0.85064443
 0.84382108 0.84003033 0.84912813 0.85216073 0.85140258 0.85064443
 0.84836998 0.84382108 0.84761183 0.86050038 0.84609553 0.84533738
 0.85064443]"
gsm,clean,gemma-3-4b-it,5,"[0.89461713 0.89840788 0.89916603 0.90068234 0.89310083 0.89537528
 0.90371494 0.89840788 0.89916603 0.89992418 0.90295679 0.89461713
 0.90523124 0.90068234 0.90371494 0.90068234 0.89764973 0.89689158
 0.89385898 0.89006823 0.89385898]"
gsm,clean,gemma-3-4b-it,10,"[0.90523124 0.90750569 0.90598939 0.90674754 0.90371494 0.90523124
 0.90674754 0.90978014 0.90523124 0.90826384 0.90598939 0.90598939
 0.91053829 0.90523124 0.90674754 0.90447309]"
gsm,clean,gemma-3-4b-it,15,"[0.90902199 0.90902199 0.90902199 0.91053829 0.90598939 0.90826384
 0.90674754 0.90978014 0.90598939 0.90902199 0.90750569]"
gsm,clean,gemma-3-4b-it,20,[0.90826384 0.91053829 0.90978014 0.90826384 0.90750569 0.90902199]
gsm,clean,gemma-3-4b-it,25,[0.90902199]
math,clean,gemma-3-4b-it,1,"[0.56 0.55 0.5  0.49 0.55 0.57 0.54 0.48 0.48 0.53 0.52 0.55 0.55 0.54
 0.48 0.54 0.54 0.59 0.57 0.59 0.49 0.51 0.58 0.54 0.52]"
math,clean,gemma-3-4b-it,5,"[0.6  0.61 0.66 0.61 0.63 0.64 0.61 0.58 0.6  0.64 0.63 0.67 0.62 0.62
 0.64 0.66 0.67 0.64 0.63 0.66 0.58]"
math,clean,gemma-3-4b-it,10,"[0.66 0.66 0.68 0.69 0.69 0.66 0.66 0.65 0.66 0.68 0.67 0.69 0.67 0.66
 0.66 0.68]"
math,clean,gemma-3-4b-it,15,[0.69 0.68 0.69 0.69 0.7  0.68 0.67 0.67 0.68 0.68 0.67]
math,clean,gemma-3-4b-it,20,[0.69 0.69 0.69 0.7  0.7  0.68]
math,clean,gemma-3-4b-it,25,[0.68]
mmlu,clean,gemma-3-4b-it,1,"[0.7299339  0.73371105 0.74032106 0.72521246 0.73937677 0.73559962
 0.72898961 0.73843248 0.73559962 0.71293673 0.74032106 0.71954674
 0.7374882  0.73937677 0.72615675 0.73559962 0.73559962 0.7374882
 0.72615675 0.71104816 0.72049103 0.74126534 0.72615675 0.7223796
 0.7299339 ]"
mmlu,clean,gemma-3-4b-it,5,"[0.76959396 0.78186969 0.76864967 0.76298395 0.7667611  0.76487252
 0.76392823 0.76959396 0.7667611  0.7592068  0.76298395 0.76298395
 0.77053824 0.7733711  0.75637394 0.77431539 0.76581681 0.77525968
 0.76109537 0.76203966 0.76298395]"
mmlu,clean,gemma-3-4b-it,10,"[0.77053824 0.77053824 0.77431539 0.77431539 0.77998111 0.77525968
 0.77053824 0.77242682 0.77148253 0.77620397 0.77620397 0.76959396
 0.78375826 0.77525968 0.76581681 0.77903683]"
mmlu,clean,gemma-3-4b-it,15,"[0.77525968 0.77525968 0.77903683 0.77809254 0.78186969 0.78186969
 0.7809254  0.78470255 0.7809254  0.77714825 0.77903683]"
mmlu,clean,gemma-3-4b-it,20,[0.7809254  0.78281398 0.7809254  0.77809254 0.7809254  0.7809254 ]
mmlu,clean,gemma-3-4b-it,25,[0.77525968]
multiarith,clean,gemma-3-4b-it,1,"[0.97777778 0.97777778 0.97222222 0.97777778 0.97222222 0.96111111
 0.97777778 0.94444444 0.96666667 0.96111111 0.98333333 0.96666667
 0.97222222 0.96666667 0.96111111 0.97777778 0.96111111 0.96666667
 0.98333333 0.97222222 0.94444444 0.96666667 0.98333333 0.96111111
 0.97222222]"
multiarith,clean,gemma-3-4b-it,5,"[0.99444444 0.98888889 0.98333333 0.98888889 0.99444444 0.98333333
 0.98888889 0.98888889 1.         0.99444444 1.         0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444 1.         0.99444444
 1.         0.99444444 0.99444444]"
multiarith,clean,gemma-3-4b-it,10,"[1.         0.99444444 0.98888889 1.         1.         0.99444444
 0.99444444 0.99444444 1.         0.99444444 1.         1.
 1.         0.99444444 0.99444444 0.99444444]"
multiarith,clean,gemma-3-4b-it,15,"[1.         0.99444444 1.         1.         1.         0.99444444
 1.         1.         1.         0.99444444 1.        ]"
multiarith,clean,gemma-3-4b-it,20,[1.         1.         1.         1.         1.         0.99444444]
multiarith,clean,gemma-3-4b-it,25,[1.]
gsm,clean,Llama-3.1-8B-Instruct,1,"[0.63153904 0.62547384 0.62244124 0.63912055 0.6520091  0.63912055
 0.61334344 0.61182714 0.64670205 0.63305534 0.62699014 0.6520091
 0.62774829 0.6444276  0.6383624  0.63760425 0.62395754 0.62092494
 0.63457165 0.62092494 0.64366945 0.63229719 0.62623199 0.62395754
 0.62092494]"
gsm,clean,Llama-3.1-8B-Instruct,5,"[0.78468537 0.79454132 0.78089462 0.78165277 0.83093252 0.78544352
 0.78620167 0.81349507 0.84230478 0.82410917 0.80818802 0.81880212
 0.79454132 0.78695982 0.78771797 0.78013647 0.77331312 0.79075057
 0.80818802 0.79909022 0.80515542]"
gsm,clean,Llama-3.1-8B-Instruct,10,"[0.88627748 0.88779378 0.88248673 0.88627748 0.88627748 0.89006823
 0.88931008 0.89082638 0.88855193 0.88324488 0.88627748 0.88931008
 0.88703563 0.88551933 0.87414708 0.88021228]"
