dataset,file,total_words,total_changes,change_percent
gsm_dataset,.\test.jsonl,130627,48703,37.28%
math_dataset,.\math_subset_20.json,12389,3673,29.65%
mmlu_dataset,.\abstract_algebra_test.csv,3468,882,25.43%
mmlu_dataset,.\anatomy_test.csv,4578,1660,36.26%
mmlu_dataset,.\astronomy_test.csv,7354,3067,41.71%
mmlu_dataset,.\business_ethics_test.csv,4215,1325,31.44%
mmlu_dataset,.\clinical_knowledge_test.csv,9105,3252,35.72%
mmlu_dataset,.\college_biology_test.csv,7015,2667,38.02%
mmlu_dataset,.\college_chemistry_test.csv,3960,1158,29.24%
mmlu_dataset,.\college_computer_science_test.csv,7106,2772,39.01%
mmlu_dataset,.\college_mathematics_test.csv,4765,1662,34.88%
mmlu_dataset,.\college_medicine_test.csv,12448,4917,39.50%
mmlu_dataset,.\college_physics_test.csv,5109,2000,39.15%
mmlu_dataset,.\computer_security_test.csv,4024,1455,36.16%
mmlu_dataset,.\conceptual_physics_test.csv,6190,2505,40.47%
mmlu_dataset,.\econometrics_test.csv,7243,2984,41.20%
mmlu_dataset,.\electrical_engineering_test.csv,3744,1239,33.09%
mmlu_dataset,.\elementary_mathematics_test.csv,12610,4008,31.78%
mmlu_dataset,.\formal_logic_test.csv,8320,2593,31.17%
mmlu_dataset,.\global_facts_test.csv,2845,1168,41.05%
mmlu_dataset,.\high_school_biology_test.csv,16072,6345,39.48%
mmlu_dataset,.\high_school_chemistry_test.csv,9399,3349,35.63%
mmlu_dataset,.\high_school_computer_science_test.csv,7245,2811,38.80%
mmlu_dataset,.\high_school_european_history_test.csv,44442,21143,47.57%
mmlu_dataset,.\high_school_geography_test.csv,5705,2192,38.42%
mmlu_dataset,.\high_school_government_and_politics_test.csv,9612,4070,42.34%
mmlu_dataset,.\high_school_macroeconomics_test.csv,17168,6938,40.41%
mmlu_dataset,.\high_school_mathematics_test.csv,9230,3405,36.89%
mmlu_dataset,.\high_school_microeconomics_test.csv,11708,4869,41.59%
mmlu_dataset,.\high_school_physics_test.csv,10201,4330,42.45%
mmlu_dataset,.\high_school_psychology_test.csv,22339,8721,39.04%
mmlu_dataset,.\high_school_statistics_test.csv,18276,7580,41.48%
mmlu_dataset,.\high_school_us_history_test.csv,48441,22972,47.42%
mmlu_dataset,.\high_school_world_history_test.csv,62376,29578,47.42%
mmlu_dataset,.\human_aging_test.csv,6746,2825,41.88%
mmlu_dataset,.\human_sexuality_test.csv,4570,1739,38.05%
mmlu_dataset,.\international_law_test.csv,8108,3884,47.90%
mmlu_dataset,.\jurisprudence_test.csv,4972,2006,40.35%
mmlu_dataset,.\logical_fallacies_test.csv,7542,3116,41.32%
mmlu_dataset,.\machine_learning_test.csv,5119,1671,32.64%
mmlu_dataset,.\management_test.csv,2610,1016,38.93%
mmlu_dataset,.\marketing_test.csv,8216,2999,36.50%
mmlu_dataset,.\medical_genetics_test.csv,2790,925,33.15%
mmlu_dataset,.\miscellaneous_test.csv,21592,8665,40.13%
mmlu_dataset,.\moral_disputes_test.csv,15959,6854,42.95%
mmlu_dataset,.\moral_scenarios_test.csv,64970,24209,37.26%
mmlu_dataset,.\nutrition_test.csv,13194,4779,36.22%
mmlu_dataset,.\philosophy_test.csv,11932,5066,42.46%
mmlu_dataset,.\prehistory_test.csv,12634,4988,39.48%
mmlu_dataset,.\professional_accounting_test.csv,18636,7447,39.96%
mmlu_dataset,.\professional_law_test.csv,309223,143940,46.55%
mmlu_dataset,.\professional_medicine_test.csv,33166,12945,39.03%
mmlu_dataset,.\professional_psychology_test.csv,31986,12990,40.61%
mmlu_dataset,.\public_relations_test.csv,3952,1508,38.16%
mmlu_dataset,.\security_studies_test.csv,29936,13399,44.76%
mmlu_dataset,.\sociology_test.csv,9384,3860,41.13%
mmlu_dataset,.\us_foreign_policy_test.csv,4107,1873,45.61%
mmlu_dataset,.\virology_test.csv,5468,1957,35.79%
mmlu_dataset,.\world_religions_test.csv,3432,1286,37.47%
,,,,
DATASET SUMMARY,,,,
gsm_dataset,ALL FILES,130627,48703,37.28%
math_dataset,ALL FILES,12389,3673,29.65%
mmlu_dataset,ALL FILES,1046557,445564,42.57%
