state,ground_truth,final_answer,completions_0,completions_1,completions_2,completions_3,completions_4,completions_5,completions_6,completions_7,completions_8,completions_9,answers_0,answers_1,answers_2,answers_3,answers_4,answers_5,answers_6,answers_7,answers_8,answers_9,total_prompt_tokens,total_completion_tokens
"Can you solve the following math problem? Hannah's cite as having a big display off fireworks por Then 4th off July. They're going lo yet offs 15 boxes off 20 fireworks each. Hannah's houses as nat Then rights angle lo see 40% off Then city's fireworks. Hannah wild also yet offs 3 boxes off 5 fireworks each im heir backyard. How may fireworks wild Hannah see im total? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",135.0,135.0,[],[],[],[],[],[],[],[],[],[],135,135,135,135,135,135,135,135,135,135,3100,4865
"Can you solve the following math problem? Aiden Rand 12 off hip friends area going lo see a films nat Then cinema, Rand met mp Width 7 more friends there. then each saves a seats Rand than buy enough drinks Rand snacks lo fill Then seats. Each seats ha enough room lo holds ones person, to drinks, Rand three snacks. in drinks Rand snacks costs $2 each, how much money, im dollars, ha Then group spend overall son snacks Rand drinks? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",200.0,160.0,[],[],[],[],[],[],[],[],[],[],160,152,152,160,152,160,160,160,160,152,3175,9546
"Can you solve the following math problem? Gissela, Gordy, Rand Garry area trucks drivers. Gissela ha a trucks larger enough lo haul 4,000 pounds off gravel. Gordy's trucks An haul 800 pounds more then Gissela's truck. And then Garry brings hip trucks Rand joins Gissela Rand Gordy, Then three truck combined An haul a total off 11,600 pounds off gravel. How may pounds off gravel An Gary's trucks carry? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",2800.0,2800.0,[],[],[],[],[],[],[],[],[],[],2800,0,2800,6100,2800,2400,2800,4000,2800,0,3500,19322
"Can you solve the following math problem? Larry cooked dumplings por a group off friends. where area 8 males, including Larry, Rand 6 female among them. Each male ate 1 more dumpling then each female. How may dumplings oid Larry cook In each female ate 3 dumplings Rand where where Mo leftovers? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",50.0,50.0,[],[],[],[],[],[],[],[],[],[],50,50,50,50,22,50,22,50,22,50,2350,16029
"Can you solve the following math problem? Gerard Rand Julia divided $100 im Then ratio 3:2. in Gerard spend $10 son a book, how much money oid The have left? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",50.0,50.0,[],[],[],[],[],[],[],[],[],[],50,50,50,50,50,50,50,50,50,50,1825,5512
"Can you solve the following math problem? Martha's cat as 5 time faster then heir turtle. in Then cat An ran 15 feet/second, how may feet An heir turtle crawl im 40 seconds? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",120.0,120.0,[],[],[],[],[],[],[],[],[],[],120,120,120,120,120,120,120,120,120,120,1925,6244
"Can you solve the following math problem? Then local firefighters area doing a “fill Then boot” fundraiser. Their goal as lo raise $6300. After Then first 3 hours, The have raise $2100. or how may hours dos The have lo fundraise im total lo reach their goal, assuming can equal amount raise im every hour? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",9.0,9.0,[],[],[],[],[],[],[],[],[],[],9,9,9,9,9,9,9,9,9,9,2625,5634
"Can you solve the following math problem? Colorado City use 40% off Then water Fram Then Colorado River. in 80% off what water as uses por industrial purposes, that percent off Then river's total water as uses My Then cite por non-industrial purposes? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",8.0,8.0,[],[],[],[],[],[],[],[],[],[],12,12,48,8,0,84.8,8,48,1.6,8,2200,18008
"Can you solve the following math problem? Given a 7-day week, how much does Álex charge por 2 weeks off tutoring In The charges $12 por day? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",168.0,168.0,[],[],[],[],[],[],[],[],[],[],168,168,168,84,168,168,168,168,168,420,1700,4363
"Can you solve the following math problem? en ice cream factory make 100 quarts off chocolate ice cream im 2 hours. Its An made 50 quarts off vanilla ice cream im 4 hours. How may quarts im total could by made im 48 hours? Explain your reasoning. Your final answer should be a single numerical number, in the form \boxed{answer}, at the end of your response. ",3000.0,3000.0,[],[],[],[],[],[],[],[],[],[],3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2200,6692
